ground_truth,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,0.10857142857142857,0.12,0.35428571428571426,0.022857142857142857,0.12571428571428572,0.22285714285714286,0.045714285714285714
disgust,0.02857142857142857,0.05714285714285714,0.3028571428571429,0.07428571428571429,0.32,0.18285714285714286,0.03428571428571429
fear,0.022857142857142857,0.08,0.49142857142857144,0.011428571428571429,0.12,0.24,0.03428571428571429
happiness,0.005714285714285714,0.005714285714285714,0.21714285714285714,0.19428571428571428,0.4,0.13142857142857142,0.045714285714285714
sadness,0.011428571428571429,0.011428571428571429,0.2914285714285714,0.04,0.3142857142857143,0.3028571428571429,0.02857142857142857
surprise,0.011428571428571429,0.017142857142857144,0.22857142857142856,0.18857142857142858,0.45714285714285713,0.04,0.05714285714285714
