ground_truth,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,0.2857142857142857,0.0,0.2857142857142857,0.02857142857142857,0.14285714285714285,0.22857142857142856,0.02857142857142857
disgust,0.05714285714285714,0.0,0.4,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.08571428571428572
fear,0.0,0.11428571428571428,0.42857142857142855,0.0,0.11428571428571428,0.34285714285714286,0.0
happiness,0.02857142857142857,0.0,0.2,0.45714285714285713,0.22857142857142856,0.02857142857142857,0.05714285714285714
sadness,0.0,0.0,0.2571428571428571,0.05714285714285714,0.11428571428571428,0.5142857142857142,0.05714285714285714
surprise,0.02857142857142857,0.0,0.3142857142857143,0.34285714285714286,0.2,0.02857142857142857,0.08571428571428572
