ground_truth,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,0.29428571428571426,0.002857142857142857,0.3942857142857143,0.07714285714285714,0.002857142857142857,0.18,0.04857142857142857
disgust,0.09428571428571429,0.005714285714285714,0.3457142857142857,0.2714285714285714,0.05142857142857143,0.13428571428571429,0.09714285714285714
fear,0.08857142857142856,0.011428571428571429,0.5514285714285714,0.054285714285714284,0.014285714285714285,0.26285714285714284,0.017142857142857144
happiness,0.03142857142857143,0.0,0.24,0.52,0.02,0.11428571428571428,0.07428571428571429
sadness,0.022857142857142857,0.0,0.2885714285714286,0.11714285714285715,0.17142857142857143,0.3485714285714286,0.05142857142857143
surprise,0.06285714285714286,0.0,0.2885714285714286,0.44285714285714284,0.02,0.09428571428571429,0.09142857142857143
