ground_truth,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,0.02857142857142857,0.14285714285714285,0.5142857142857142,0.0,0.11428571428571428,0.11428571428571428,0.08571428571428572
disgust,0.05714285714285714,0.02857142857142857,0.4,0.08571428571428572,0.2571428571428571,0.14285714285714285,0.02857142857142857
fear,0.05714285714285714,0.05714285714285714,0.7428571428571429,0.0,0.05714285714285714,0.05714285714285714,0.02857142857142857
happiness,0.0,0.0,0.22857142857142856,0.3142857142857143,0.37142857142857144,0.05714285714285714,0.02857142857142857
sadness,0.0,0.02857142857142857,0.45714285714285713,0.0,0.2,0.2857142857142857,0.02857142857142857
surprise,0.0,0.0,0.37142857142857144,0.2857142857142857,0.2857142857142857,0.0,0.05714285714285714
