ground_truth,anger,fear,happiness,sadness,surprise,unknown
anger,0.0,0.002857142857142857,0.0,0.002857142857142857,0.002857142857142857,0.9914285714285714
disgust,0.0,0.011428571428571429,0.002857142857142857,0.0,0.0,0.9857142857142858
fear,0.0,0.0,0.0,0.002857142857142857,0.0,0.9971428571428571
happiness,0.0,0.0,0.0,0.002857142857142857,0.0,0.9971428571428571
sadness,0.0,0.005714285714285714,0.0,0.0,0.0,0.9942857142857143
surprise,0.002857142857142857,0.0,0.008571428571428572,0.002857142857142857,0.0,0.9857142857142858
